text,class
"Current practice in dental oncology in the U.K. The clinical management of cancer patients, particularly where it affects the head and neck, may result in short- and long-term complications. Specialist management of the dental sequelae of cancer is often recognized nowadays by the term'Dental Oncology' Members of the dental team play a vital role in preventing and promptly managing such complications and all dental professionals should have a sound understanding and knowledge of the oral implications of cancer therapy and their management, and the contribution of this to the patient's quality of life. CLINICAL RELEVANCE: This article offers the dental team an overview of the impact of cancer therapy and strategies for preventing and managing the oral side-effects of cancer therapy prior to, during, and beyond cancer treatment.",cancer
"Management of white patches. White patches are a worrying finding for patients, in particular with concern arising about the possibility of the lesions being or becoming cancerous. This paper looks at some of the common white patches that present and relevant considerations in deciding on a management plan for them.",cancer
"Evolutionary dynamics of cancer prevention. Multicellular organisms must evolve mechanisms to suppress cancer formation prior to reproduction, and we propose that the organizational structure of normal epithelium is one such strategy. Understanding evolved host cancer suppression mechanisms is essential to defining the first steps of carcinogenesis and developing rational cancer prevention strategies.",cancer
"A short account of cancer--specifically in relation to squamous cell carcinoma. Cancer is the outcome of a complex multifactorial process of cytogenetic and epigenetic changes that affect cell cycle progression, apoptosis, DNA repair mechanisms and cell differentiation. Cancer cells have the capacity to evade the immune system, to invade tissues and to metastasize. Cancer is treated by surgery, chemotherapy and radiotherapy, each as single treatment modalities or more often in combination. Failure of treatment to cure a patient of cancer may be owing to the fact that radiotherapy and chemotherapy can eradicate transit-amplifying cells which are characterized by uncontrolled proliferation and prolonged survival; but cannot eradicate all cancer stem cells that divide slowly, have a relatively unlimited self-renewal capacity and express anti-apoptotic genes; and also owing to the fact that surgery cannot always eliminate occult fields of pre-cancerization.",cancer
"Chemotherapy- and radiotherapy-induced oral mucositis: pathobiology, epidemiology and management. Oral mucositis is a debilitating complication of anticancer treatment, characterised by erythematous, atrophic, erosive or ulcerative lesions. Oral mucositis is almost always painful, affects eating, sleeping, and speech and affects the physiological and social well-being of the patient. The pathophysiology of the condition is not well understood. Guidelines to the treatment of oral mucositis are often contradictory so that there is no evidence based standard treatment protocol. Therefore the treatment is empiric. This paper offers a brief review of current knowledge of the pathophysiology and treatment of oral mucositis.",cancer
"Managing women with ovarian cancer: the role of the nurse. This article considers the nature of ovarian cancer, the effect this diagnosis may have on patients, their families and carers, and the treatment options available. The importance of the role of the nurse in providing support and information for women undergoing treatment is discussed.",cancer
"Effect of mitoxantrone on outcome of children with first relapse of acute lymphoblastic leukaemia (ALL R3): an open-label randomised trial. BACKGROUND: Although survival of children with acute lymphoblastic leukaemia has improved greatly in the past two decades, the outcome of those who relapse has remained static. We investigated the outcome of children with acute lymphoblastic leukaemia who relapsed on present therapeutic regimens. METHODS: This open-label randomised trial was undertaken in 22 centres in the UK and Ireland and nine in Australia and New Zealand. Patients aged 1-18 years with first relapse of acute lymphoblastic leukaemia were stratified into high-risk, intermediate-risk, and standard-risk groups on the basis of duration of first complete remission, site of relapse, and immunophenotype. All patients were allocated to receive either idarubicin or mitoxantrone in induction by stratified concealed randomisation. Neither patients nor those giving interventions were masked. After three blocks of therapy, all high-risk group patients and those from the intermediate group with postinduction high minimal residual disease (>/=10(-4) cells) received an allogenic stem-cell transplant. Standard-risk and intermediate-risk patients with postinduction low minimal residual disease (<10(-4) cells) continued chemotherapy. The primary outcome was progression-free survival and the method of analysis was intention-to-treat. Randomisation was stopped in December, 2007 because of differences in progression-free and overall survival between the two groups. This trial is registered, reference number ISCRTN45724312. FINDINGS: Of 239 registered patients, 216 were randomly assigned to either idarubicin (109 analysed) or mitoxantrone (103 analysed). Estimated 3-year progression-free survival was 35.9% (95% CI 25.9-45.9) in the idarubicin group versus 64.6% (54.2-73.2) in the mitoxantrone group (p=0.0004), and 3-year overall survival was 45.2% (34.5-55.3) versus 69.0% (58.5-77.3; p=0.004). Differences in progression-free survival between groups were mainly related to a decrease in disease events (progression, second relapse, disease-related deaths; HR 0.56, 0.34-0.92, p=0.007) rather than an increase in adverse treatment effects (treatment death, second malignancy; HR 0.52, 0.24-1.11, p=0.11). INTERPRETATION: As compared with idarubicin, mitoxantrone conferred a significant benefit in progression-free and overall survival in children with relapsed acute lymphobastic leukaemia, a potentially useful clinical finding that warrants further investigation. FUNDING: Cancer Research UK, Leukaemia and Lymphoma Research, Cancer Council NSW, and Sporting Chance Cancer Foundation.",cancer
"First-line treatment with zoledronic acid as compared with clodronic acid in multiple myeloma (MRC Myeloma IX): a randomised controlled trial. BACKGROUND: Bisphosphonates reduce the risk of skeletal events in patients with malignant bone disease, and zoledronic acid has shown potential anticancer effects in preclinical and clinical studies. We aimed to establish whether bisphosphonates can affect clinical outcomes in patients with multiple myeloma. METHODS: Patients of age 18 years or older with newly diagnosed multiple myeloma were enrolled from 120 centres in the UK. Computer-generated randomisation sequence was used to allocate patients equally, via an automated telephone service, to receive 4 mg zoledronic acid as an infusion every 3-4 weeks or 1600 mg oral clodronic acid daily. Patients also received intensive or non-intensive induction chemotherapy. No investigators, staff, or patients were masked to treatment allocation, and bisphosphonate and maintenance therapy continued at least until disease progression. The primary endpoints were overall survival, progression-free survival, and overall response rate. We assessed between-group differences with Cox proportional hazards models for progression-free survival and overall survival, and with logistic regression models for overall response rate. Analysis was by intention to treat. This trial is registered, number ISRCTN68454111. FINDINGS: 1970 patients were enrolled between May, 2003, and November, 2007, of whom 1960 were eligible for intention-to-treat analysis: 981 in the zoledronic acid group (555 on intensive chemotherapy, 426 on non-intensive chemotherapy); and 979 on clodronic acid (556 on intensive chemotherapy, 423 on non-intensive chemotherapy). The treatment cutoff was Oct 5, 2009, with patients receiving bisphosphonates for a median of 350 days (IQR 137-632) before disease progression, with a median of 3.7 years' follow-up (IQR 2.9-4.7). Zoledronic acid reduced mortality by 16% (95% CI 4-26) versus clodronic acid (hazard ratio [HR] 0.84, 95% CI 0.74-0.96; p=0.0118), and extended median overall survival by 5.5 months (50.0 months, IQR 21.0 to not reached vs 44.5 months, IQR 16.5 to not reached; p=0.04). Zoledronic acid also significantly improved progression-free survival by 12% (95% CI 2-20) versus clodronic acid (HR 0.88, 95% CI 0.80-0.98; p=0.0179), and increased median progression-free survival by 2.0 months (19.5 months, IQR 9.0-38.0 vs 17.5 months, IQR 8.5-34.0; p=0.07). Rates of complete, very good partial, or partial response did not differ significantly between the zoledronic acid and clodronic acid groups for patients receiving intensive induction chemotherapy (432 patients [78%] vs 422 [76%]; p=0.43) or non-intensive induction chemotherapy (215 [50%] vs 195 [46%]; p=0.18). Both bisphosphonates were generally well tolerated, with similar occurrence of acute renal failure and treatment-emergent serious adverse events, but zoledronic acid was associated with higher rates of confirmed osteonecrosis of the jaw (35 [4%]) than was clodronic acid (3 [<1%]). INTERPRETATION: Consistent with the potential anticancer activity of zoledronic acid, overall survival improved independently of prevention of skeletal-related events, showing that zoledronic acid has treatment benefits beyond bone health. These findings support immediate treatment with zoledronic acid in patients with newly diagnosed multiple myeloma, not only for prevention of skeletal-related events, but also for potential antimyeloma benefits. FUNDING: Medical Research Council (London, UK), with unrestricted educational grants from Novartis, Schering Health Care, Chugai, Pharmion, Celgene, and Ortho Biotech.",cancer
"Complete remission and early death after intensive chemotherapy in patients aged 60 years or older with acute myeloid leukaemia: a web-based application for prediction of outcomes. BACKGROUND: About 50% of patients (age >/=60 years) who have acute myeloid leukaemia and are otherwise medically healthy (ie, able to undergo intensive chemotherapy) achieve a complete remission (CR) after intensive chemotherapy, but with a substantially increased risk of early death (ED) compared with younger patients. We verified the association of standard clinical and laboratory variables with CR and ED and developed a web-based application for risk assessment of intensive chemotherapy in these patients. METHODS: Multivariate regression analysis was used to develop risk scores with or without knowledge of the cytogenetic and molecular risk profiles for a cohort of 1406 patients (aged >/=60 years) with acute myeloid leukaemia, but otherwise medically healthy, who were treated with two courses of intensive induction chemotherapy (tioguanine, standard-dose cytarabine, and daunorubicin followed by high-dose cytarabine and mitoxantrone; or with high-dose cytarabine and mitoxantrone in the first and second induction courses) in the German Acute Myeloid Leukaemia Cooperative Group 1999 study. Risk prediction was validated in an independent cohort of 801 patients (aged >60 years) with acute myeloid leukaemia who were given two courses of cytarabine and daunorubicin in the Acute Myeloid Leukaemia 1996 study. FINDINGS: Body temperature, age, de-novo leukaemia versus leukaemia secondary to cytotoxic treatment or an antecedent haematological disease, haemoglobin, platelet count, fibrinogen, and serum concentration of lactate dehydrogenase were significantly associated with CR or ED. The probability of CR with knowledge of cytogenetic and molecular risk (score 1) was from 12% to 91%, and without knowledge (score 2) from 21% to 80%. The predicted risk of ED was from 6% to 69% for score 1 and from 7% to 63% for score 2. The predictive power of the risk scores was confirmed in the independent patient cohort (CR score 1, from 10% to 91%; CR score 2, from 16% to 80%; ED score 1, from 6% to 69%; and ED score 2, from 7% to 61%). INTERPRETATION: The scores for acute myeloid leukaemia can be used to predict the probability of CR and the risk of ED in older patients with acute myeloid leukaemia, but otherwise medically healthy, for whom intensive induction chemotherapy is planned. This information can help physicians with difficult decisions for treatment of these patients. FUNDING: Deutsche Krebshilfe and Deutsche Forschungsgemeinschaft.",cancer
"Autophagy and metabolism. Autophagy is a process of self-cannibalization. Cells capture their own cytoplasm and organelles and consume them in lysosomes. The resulting breakdown products are inputs to cellular metabolism, through which they are used to generate energy and to build new proteins and membranes. Autophagy preserves the health of cells and tissues by replacing outdated and damaged cellular components with fresh ones. In starvation, it provides an internal source of nutrients for energy generation and, thus, survival. A powerful promoter of metabolic homeostasis at both the cellular and whole-animal level, autophagy prevents degenerative diseases. It does have a downside, however--cancer cells exploit it to survive in nutrient-poor tumors.",cancer
"The control of the metabolic switch in cancers by oncogenes and tumor suppressor genes. Cells from some tumors use an altered metabolic pattern compared with that of normal differentiated adult cells in the body. Tumor cells take up much more glucose and mainly process it through aerobic glycolysis, producing large quantities of secreted lactate with a lower use of oxidative phosphorylation that would generate more adenosine triphosphate (ATP), water, and carbon dioxide. This is the Warburg effect, which provides substrates for cell growth and division and free energy (ATP) from enhanced glucose use. This metabolic switch places the emphasis on producing intermediates for cell growth and division, and it is regulated by both oncogenes and tumor suppressor genes in a number of key cancer-producing pathways. Blocking these metabolic pathways or restoring these altered pathways could lead to a new approach in cancer treatments.",cancer
"On getting there from here. Studies on a variety of interesting biological problems, ranging from circadian rhythm to cancer cell growth to longevity, have begun to give evidence that the physiological state of cells and tissues reflects both the cell's regulatory systems and its state of intermediary metabolism. It is appreciated that the regulatory state of a cell or tissue, as driven by transcription factors and signaling pathways, can impose itself upon the dynamics of metabolic state. It follows that the reciprocal must also be the case, that metabolic state will feed back to impose itself on regulatory state. An appreciation and understanding of this reciprocity may be required to crack open problems in biological research that have heretofore been insoluble.",cancer
Late effects of cancer and cancer therapy on oral health and quality of life. Persisting and chronic oral complications of cancer therapy are common. Oral complications in cancer survivors are underreported but impact oral function and quality of life. Prevention and management of oral complications in cancer survivors requires interdisciplinary care. The purpose of this article is to review the common oral complications in cancer survivors.,cancer
